gvkey,date,year,quarter,transcriptid,sentence,label,semantic_score,source_method
020779,2020-01-28,2020,1,1897168.0,"New technology in the form of
robotics of security, of AI and also 5G.",risk,0.3330331,bert_classifier_chatgpt_annotations
020779,2020-01-28,2020,1,1897168.0,"It
uses AI and machine learning in order to automatically map the journey our users
are taking through the actual front end screens that make up this
application.",adoption,0.28819588,bert_classifier_chatgpt_annotations
020779,2020-01-28,2020,1,1897168.0,"Are you using
machine learning to actually accomplish that?",adoption,0.26219678,bert_classifier_chatgpt_annotations
020779,2020-01-28,2020,1,1897168.0,"So what we've done is we've created a cloud service where
you can upload your configuration, you can select what hardware platform
you have and what version of code you want to test on and using machine learning
we actually dynamically build a test plan for you, which you can then run
in the cloud or you can have a connectivity back to your own lab and you can
actually run the tests from the cloud, utilizing your own equipment and your own
lab.",adoption,0.35383716,bert_classifier_chatgpt_annotations
020779,2020-01-28,2020,1,1897168.0,"AI-powered super agents
with the right information at their fingertips to expediently resolve issues.",adoption,0.3407507,bert_classifier_chatgpt_annotations
020779,2020-01-28,2020,1,1897168.0,"We are invested in your future with
Our innovation engines, modern Cisco collaboration with its focus on AI, security
and privacy, respectful approaches back in zero.",innovation,0.26214573,bert_classifier_chatgpt_annotations
020779,2020-01-28,2020,1,1897168.0,"that we now, for  the first time, and this  is unique  to any other APM tool, any
other application performance management tool, we have the ability  to use
AI and ML technologies to dynamically map your top user journey on  the front end
of  the application, literally the screens your users are seeing at the
end-user  experience level  and actually let you see whether the things  that are
happening  on the back end are correlated  to  the things that are
happening  on the front-end experience.",adoption,0.24831177,bert_classifier_chatgpt_annotations
020779,2020-01-28,2020,1,1897168.0,"And that experience journey map uses
the AI and  the ML that  I mentioned  to give you these paths through  the
application, which corresponds, as  you would expect,  to the business metrics.",adoption,0.307193,bert_classifier_chatgpt_annotations
020779,2020-01-28,2020,1,1897168.0,"So you must be using machine learning because you're looking across hybrid cloud
environments.",adoption,0.31436408,bert_classifier_chatgpt_annotations
020779,2020-01-28,2020,1,1897168.0,"So how do you optimize
for those resources to say, there's a new instance that's available, this is much
Better suited, this gives you the granular information  in terms of the
savings that you... You're now applying that machine learning now to cost optimization.",adoption,0.27262712,bert_classifier_chatgpt_annotations
020779,2020-01-28,2020,1,1897168.0,"Definitely looking forward into technologies to get machine learning out
there on the edge because we really think that's the next wave of technology
that we're going to need in the ports.",hype,0.33610713,bert_classifier_chatgpt_annotations
020779,2020-01-28,2020,1,1897168.0,"So if you're modernizing a smart grid or making it a factory
smart with intelligent automation, then it's very critical that it worked into
this environment, and you have a lot of new challenges that you're not going
to run into in the traditional IT space.",adoption,0.30759558,bert_classifier_chatgpt_annotations
020779,2020-01-28,2020,1,1897168.0,"And then finally
we have a new design that we are applying into -- for the manufacturing
space, where we're, again, taking cyber vision into one of our largest verticals
to enable not just intelligent automation, but secure automation and protect
the factory environments, which is 1 of the most attacked industrial environments
that's out there from a cybersecurity point of view.",risk,0.32132384,bert_classifier_chatgpt_annotations
020779,2020-01-28,2020,1,1897168.0,"So we do not
only follow the trends of the best world, AI, blockchain, all these cool stuff
but we actually work hard to see what's in it for us and for our community
and for our industry in there.",innovation,0.17015453,bert_classifier_chatgpt_annotations
