model,outcome,ai_var,controls,fixed_effects,clusters,n_obs,n_firms,n_quarters,status,r2,term,coef,se,t,p
alternative_ai | ret_future_1q | bert_innovation_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_innovation_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00785100006693662,bert_innovation_log_count,-0.02155444901931047,0.009830222471745219,-2.192671537319112,0.02833105285794451
alternative_ai | ret_future_1q | bert_innovation_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_innovation_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00785100006693662,size,-0.004185670758957819,0.0011157684203090218,-3.7513794823109987,0.0001758642835354453
alternative_ai | ret_future_1q | bert_innovation_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_innovation_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00785100006693662,bm,-0.010642256972166439,0.00396198901581493,-2.686089469124251,0.007229372765108292
alternative_ai | ret_future_1q | bert_innovation_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_innovation_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00785100006693662,leverage,0.01735309763133972,0.010407886211958662,1.6673027815581813,0.09545421383949243
alternative_ai | ret_future_1q | bert_innovation_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_innovation_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00785100006693662,profitability,0.062158003693055845,0.013039158121786154,4.76702583959011,1.8696533911349587e-06
alternative_ai | ret_future_1q | bert_innovation_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_innovation_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00785100006693662,investment,0.02773973740984295,0.007877038520674897,3.5215947385599735,0.00042895936139212654
alternative_ai | ret_future_1q | bert_innovation_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_innovation_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00785100006693662,momentum,-0.011477447628699212,0.0021640746861206544,-5.3036282445842104,1.1352338501917772e-07
alternative_ai | ret_future_1q | bert_risk_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_risk_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007746203750635061,bert_risk_log_count,-0.0028707880161571845,0.010929195073230799,-0.26267149565192505,0.7928037886637107
alternative_ai | ret_future_1q | bert_risk_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_risk_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007746203750635061,size,-0.004236382172584956,0.001121996667523622,-3.775752901240917,0.00015952507485321246
alternative_ai | ret_future_1q | bert_risk_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_risk_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007746203750635061,bm,-0.010589306063457996,0.003961672579946455,-2.672938222370996,0.0075190095869049805
alternative_ai | ret_future_1q | bert_risk_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_risk_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007746203750635061,leverage,0.01772461032700495,0.01040774576996956,1.7030210689953074,0.08856412561320362
