model,outcome,term,coef,se,t,p,coef_sig,n_obs,n_firms,n_quarters,fixed_effects,clusters,r2,status
1Q | bert_adoption_dummy | minimal_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,-0.015605566681654715,0.005949366156251573,-2.623063746926459,0.008714296601792808,-0.0156***,32891,4418,10,industry_fe + yq,gvkey,0.0017160646988954031,ok_clustered
1Q | bert_adoption_dummy | minimal_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_1q,bert_adoption_dummy,-0.015605566681654715,0.008698531477058867,-1.7940461240856764,0.07280580717903049,-0.0156*,32891,4418,10,industry_fe + yq,gvkey + yq,0.0017160646988954031,ok_two_way_clustered
1Q | bert_adoption_dummy | minimal_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,-0.01284604875050641,0.007106213711994703,-1.8077205768274796,0.07065000039337274,-0.0128*,32891,4418,10,gvkey + yq,gvkey,0.03329035941658265,ok_clustered
1Q | bert_adoption_dummy | minimal_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_1q,bert_adoption_dummy,-0.01284604875050641,0.006294039203775755,-2.0409864531508073,0.04125217363317247,-0.0128**,32891,4418,10,gvkey + yq,gvkey + yq,0.03329035941658265,ok_two_way_clustered
1Q | bert_adoption_dummy | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,-0.014938952628172604,0.005946621605183013,-2.512174747280367,0.011998965606988522,-0.0149**,32758,4403,10,industry_fe + yq,gvkey,0.007913200605323967,ok_clustered
1Q | bert_adoption_dummy | baseline_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_1q,bert_adoption_dummy,-0.014938952628172604,0.008472824508343416,-1.7631608696086907,0.07787336139067119,-0.0149*,32758,4403,10,industry_fe + yq,gvkey + yq,0.007913200605323967,ok_two_way_clustered
1Q | bert_adoption_dummy | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,-0.012991611845943435,0.007055914299262089,-1.8412371940659915,0.06558680700447692,-0.0130*,32758,4403,10,gvkey + yq,gvkey,0.03975898375789644,ok_clustered
1Q | bert_adoption_dummy | baseline_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_1q,bert_adoption_dummy,-0.012991611845943435,0.006280367525636406,-2.068606939468397,0.038582986214259374,-0.0130**,32758,4403,10,gvkey + yq,gvkey + yq,0.03975898375789644,ok_two_way_clustered
1Q | bert_adoption_log_count | minimal_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,-0.012297876125562488,0.004976438729252699,-2.4712202429566,0.013465286090683311,-0.0123**,32891,4418,10,industry_fe + yq,gvkey,0.0017088323715891418,ok_clustered
1Q | bert_adoption_log_count | minimal_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_1q,bert_adoption_log_count,-0.012297876125562488,0.007683176531402389,-1.600623918414353,0.10946024136831095,-0.0123,32891,4418,10,industry_fe + yq,gvkey + yq,0.0017088323715891418,ok_two_way_clustered
1Q | bert_adoption_log_count | minimal_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,-0.014520634777952452,0.007714094878211189,-1.8823510738721458,0.05978836419250367,-0.0145*,32891,4418,10,gvkey + yq,gvkey,0.03334975177819077,ok_clustered
1Q | bert_adoption_log_count | minimal_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_1q,bert_adoption_log_count,-0.014520634777952452,0.006220646843737503,-2.3342644491337383,0.019581879040889136,-0.0145**,32891,4418,10,gvkey + yq,gvkey + yq,0.03334975177819077,ok_two_way_clustered
1Q | bert_adoption_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,-0.011895817371430119,0.0049756724269831645,-2.3907959267814496,0.016811894600999692,-0.0119**,32758,4403,10,industry_fe + yq,gvkey,0.007909720388142194,ok_clustered
1Q | bert_adoption_log_count | baseline_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_1q,bert_adoption_log_count,-0.011895817371430119,0.00728321823769418,-1.6333188136342676,0.10240196195869848,-0.0119,32758,4403,10,industry_fe + yq,gvkey + yq,0.007909720388142194,ok_two_way_clustered
1Q | bert_adoption_log_count | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,-0.01490930247067027,0.007680441114340644,-1.941203929398294,0.05223354670375824,-0.0149*,32758,4403,10,gvkey + yq,gvkey,0.03982420047138635,ok_clustered
1Q | bert_adoption_log_count | baseline_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_1q,bert_adoption_log_count,-0.01490930247067027,0.006058668441264333,-2.460821650038828,0.013861925534395633,-0.0149**,32758,4403,10,gvkey + yq,gvkey + yq,0.03982420047138635,ok_two_way_clustered
1Q | bert_adoption_per_1k_words | minimal_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_per_1k_words,-0.026434753556977234,0.012582114559575487,-2.100978609899823,0.03564284397027123,-0.0264**,32891,4418,10,industry_fe + yq,gvkey,0.0016869317628948055,ok_clustered
1Q | bert_adoption_per_1k_words | minimal_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_1q,bert_adoption_per_1k_words,-0.026434753556977234,0.01322134541562242,-1.99939966213588,0.04556512846836601,-0.0264**,32891,4418,10,industry_fe + yq,gvkey + yq,0.0016869317628948055,ok_two_way_clustered
1Q | bert_adoption_per_1k_words | minimal_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_per_1k_words,-0.055613009656875524,0.027981898348074002,-1.9874637869486569,0.0468710250830931,-0.0556**,32891,4418,10,gvkey + yq,gvkey,0.03350218178650144,ok_clustered
1Q | bert_adoption_per_1k_words | minimal_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_1q,bert_adoption_per_1k_words,-0.055613009656875524,0.01547972519551817,-3.592635460542743,0.0003273503864904405,-0.0556***,32891,4418,10,gvkey + yq,gvkey + yq,0.03350218178650144,ok_two_way_clustered
1Q | bert_adoption_per_1k_words | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_per_1k_words,-0.025452208697786038,0.012537497521701682,-2.03008683780234,0.04234771319148956,-0.0255**,32758,4403,10,industry_fe + yq,gvkey,0.007888051062711177,ok_clustered
1Q | bert_adoption_per_1k_words | baseline_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_1q,bert_adoption_per_1k_words,-0.025452208697786038,0.01278448008151644,-1.99086771894497,0.046495431977895574,-0.0255**,32758,4403,10,industry_fe + yq,gvkey + yq,0.007888051062711177,ok_two_way_clustered
1Q | bert_adoption_per_1k_words | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_per_1k_words,-0.05683686909548935,0.027942170738156774,-2.0340892491174665,0.04194259773055969,-0.0568**,32758,4403,10,gvkey + yq,gvkey,0.03998208801067382,ok_clustered
