model,outcome,term,coef,se,t,p,coef_sig,n_obs,n_firms,n_quarters,fixed_effects,clusters,r2,status
4Q | bert_adoption_dummy | minimal_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,-0.05414649719588842,0.02185872147629934,-2.4771118134515597,0.013245040077025242,-0.0541**,26727,4183,8,industry_fe + yq,gvkey,0.0034903543382966973,ok_clustered
4Q | bert_adoption_dummy | minimal_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_dummy,-0.05414649719588842,0.017446877425879394,-3.103506482803138,0.0019124204508168847,-0.0541***,26727,4183,8,industry_fe + yq,gvkey + yq,0.0034903543382966973,ok_two_way_clustered
4Q | bert_adoption_dummy | minimal_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,-0.038633504151808225,0.02735594730705249,-1.4122524699354253,0.1578756359443091,-0.0386,26727,4183,8,gvkey + yq,gvkey,0.12744566948877212,ok_clustered
4Q | bert_adoption_dummy | minimal_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_dummy,-0.038633504151808225,0.020292311636240002,-1.9038493417779334,0.05692980827314372,-0.0386*,26727,4183,8,gvkey + yq,gvkey + yq,0.12744566948877212,ok_two_way_clustered
4Q | bert_adoption_dummy | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,-0.05117622578379036,0.02221309742946522,-2.3038761679362256,0.02122959586684096,-0.0512**,26599,4133,8,industry_fe + yq,gvkey,0.0054580409877936775,ok_clustered
4Q | bert_adoption_dummy | baseline_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_dummy,-0.05117622578379036,0.018551485947379365,-2.758605209790198,0.005804861601684256,-0.0512***,26599,4133,8,industry_fe + yq,gvkey + yq,0.0054580409877936775,ok_two_way_clustered
4Q | bert_adoption_dummy | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,-0.03865051886102307,0.027333656729480668,-1.414026642814191,0.15735407992683692,-0.0387,26599,4133,8,gvkey + yq,gvkey,0.12851279592016085,ok_clustered
4Q | bert_adoption_dummy | baseline_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_dummy,-0.03865051886102307,0.020504767010549114,-1.884952842484798,0.059436204852135445,-0.0387*,26599,4133,8,gvkey + yq,gvkey + yq,0.12851279592016085,ok_two_way_clustered
4Q | bert_adoption_log_count | minimal_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,-0.03314882890568508,0.0180347970638758,-1.8380483455554435,0.06605528168637566,-0.0331*,26727,4183,8,industry_fe + yq,gvkey,0.003425270906849631,ok_clustered
4Q | bert_adoption_log_count | minimal_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_log_count,-0.03314882890568508,0.013953033727229908,-2.3757434801432327,0.017513633511924486,-0.0331**,26727,4183,8,industry_fe + yq,gvkey + yq,0.003425270906849631,ok_two_way_clustered
4Q | bert_adoption_log_count | minimal_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,-0.017591503481616765,0.02244278215736896,-0.7838379109267741,0.43313522564127116,-0.0176,26727,4183,8,gvkey + yq,gvkey,0.12739788845775313,ok_clustered
