model,outcome,term,coef,se,t,p,coef_sig,n_obs,n_firms,n_quarters,fixed_effects,clusters,r2,status
winsorized | ret_future_1q | bert_adoption_dummy | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,-0.014516864076463624,0.004989645202789196,-2.909398060677489,0.003621254606672127,-0.0145***,32758,4403,10,industry_fe + yq,gvkey,0.012899134817583202,ok_clustered
winsorized | ret_future_1q | bert_adoption_dummy | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,-0.006996078787026215,0.005878358603564833,-1.1901415444072363,0.23399076397642837,-0.0070,32758,4403,10,gvkey + yq,gvkey,0.05181005970335861,ok_clustered
winsorized | ret_future_1q | bert_adoption_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,-0.013079949605314518,0.004496449237434781,-2.9089507997596376,0.0036264392596430063,-0.0131***,32758,4403,10,industry_fe + yq,gvkey,0.012904978061359929,ok_clustered
winsorized | ret_future_1q | bert_adoption_log_count | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,-0.007937169875977215,0.005761948252559363,-1.3775149529417683,0.16835309498360695,-0.0079,32758,4403,10,gvkey + yq,gvkey,0.051828601865054336,ok_clustered
winsorized | ret_future_1q | bert_adoption_per_1k_words | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_per_1k_words,-0.04773509700046394,0.01811801932051934,-2.634675245455895,0.008421781709837662,-0.0477***,32758,4403,10,industry_fe + yq,gvkey,0.012898060896816665,ok_clustered
winsorized | ret_future_1q | bert_adoption_per_1k_words | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_per_1k_words,-0.02742074055109288,0.02580009662933655,-1.062815420617981,0.28786566497274524,-0.0274,32758,4403,10,gvkey + yq,gvkey,0.05181383087679636,ok_clustered
winsorized | ret_future_4q | bert_adoption_dummy | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,-0.034037897131387135,0.01631330453447425,-2.0865114765347643,0.03693231672168905,-0.0340**,26599,4133,8,industry_fe + yq,gvkey,0.022260483478875326,ok_clustered
winsorized | ret_future_4q | bert_adoption_dummy | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,-0.012652575386811752,0.012673470527350855,-0.9983512692522535,0.3181090547619396,-0.0127,26599,4133,8,gvkey + yq,gvkey,0.2240378016418112,ok_clustered
winsorized | ret_future_4q | bert_adoption_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,-0.02481870457908675,0.015202510783859058,-1.6325398437103877,0.10256581206595851,-0.0248,26599,4133,8,industry_fe + yq,gvkey,0.02219114386281551,ok_clustered
winsorized | ret_future_4q | bert_adoption_log_count | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,-0.006076484780000962,0.012834606675409855,-0.4734453445809954,0.6358954856682402,-0.0061,26599,4133,8,gvkey + yq,gvkey,0.22401691183629724,ok_clustered
winsorized | ret_future_4q | bert_adoption_per_1k_words | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,-0.10350132677792846,0.06480962553773859,-1.597005474405337,0.11026448694023896,-0.1035,26599,4133,8,industry_fe + yq,gvkey,0.02222876938406637,ok_clustered
winsorized | ret_future_4q | bert_adoption_per_1k_words | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,-0.022777386032837955,0.058681854060186264,-0.3881504154500066,0.6979047247725619,-0.0228,26599,4133,8,gvkey + yq,gvkey,0.2240161490771636,ok_clustered
