yq,spread,spec,outcome
2020Q1,0.04614133734005304,Size 5x BM 5,ret_future_1q
2020Q2,0.013207010702158602,Size 5x BM 5,ret_future_1q
2020Q3,-0.030664801973420037,Size 5x BM 5,ret_future_1q
2020Q4,-0.02520632884503742,Size 5x BM 5,ret_future_1q
2021Q1,-0.013907938603108906,Size 5x BM 5,ret_future_1q
2021Q2,-0.01329362115836404,Size 5x BM 5,ret_future_1q
2021Q3,-0.038678344877387506,Size 5x BM 5,ret_future_1q
2021Q4,-0.05112754292373692,Size 5x BM 5,ret_future_1q
2022Q1,-0.03900268000492871,Size 5x BM 5,ret_future_1q
2022Q2,-0.04384274404888241,Size 5x BM 5,ret_future_1q
2020Q1,0.032156956084263943,Size 5x BM 5 (VW),ret_future_1q
2020Q2,0.006564479510856924,Size 5x BM 5 (VW),ret_future_1q
2020Q3,-0.020032533498292496,Size 5x BM 5 (VW),ret_future_1q
2020Q4,-0.01786884353660958,Size 5x BM 5 (VW),ret_future_1q
2021Q1,-0.02253877330725338,Size 5x BM 5 (VW),ret_future_1q
2021Q2,-0.025903285146994068,Size 5x BM 5 (VW),ret_future_1q
2021Q3,-0.04061011258931929,Size 5x BM 5 (VW),ret_future_1q
2021Q4,-0.04877626719227243,Size 5x BM 5 (VW),ret_future_1q
2022Q1,-0.0412693442662466,Size 5x BM 5 (VW),ret_future_1q
2022Q2,-0.047210017954261496,Size 5x BM 5 (VW),ret_future_1q
2020Q1,0.03527897089554235,Size 3x BM 3x Mom 3,ret_future_1q
2020Q2,0.018118672664926748,Size 3x BM 3x Mom 3,ret_future_1q
2020Q3,-0.03213856849559586,Size 3x BM 3x Mom 3,ret_future_1q
2020Q4,-0.01739726542344259,Size 3x BM 3x Mom 3,ret_future_1q
2021Q1,-0.006022808845029052,Size 3x BM 3x Mom 3,ret_future_1q
2021Q2,-0.008346018024770372,Size 3x BM 3x Mom 3,ret_future_1q
2021Q3,-0.031047483210751868,Size 3x BM 3x Mom 3,ret_future_1q
2021Q4,-0.04673262803709449,Size 3x BM 3x Mom 3,ret_future_1q
2022Q1,-0.03305541262901404,Size 3x BM 3x Mom 3,ret_future_1q
2022Q2,-0.038207908831614595,Size 3x BM 3x Mom 3,ret_future_1q
2020Q1,-0.003457346879727464,Size 5x BM 5,ret_future_4q
2020Q2,-0.014718846414468946,Size 5x BM 5,ret_future_4q
2020Q3,-0.16200575726273742,Size 5x BM 5,ret_future_4q
2020Q4,-0.05492277229545129,Size 5x BM 5,ret_future_4q
2021Q1,-0.1005830647629663,Size 5x BM 5,ret_future_4q
2021Q2,-0.07595765893719135,Size 5x BM 5,ret_future_4q
2021Q3,-0.12273341226864835,Size 5x BM 5,ret_future_4q
2021Q4,-0.09389349444776751,Size 5x BM 5,ret_future_4q
2020Q1,-0.03490315982594705,Size 5x BM 5 (VW),ret_future_4q
2020Q2,-0.009518672038447362,Size 5x BM 5 (VW),ret_future_4q
2020Q3,-0.15396325140055145,Size 5x BM 5 (VW),ret_future_4q
2020Q4,-0.047360450009835686,Size 5x BM 5 (VW),ret_future_4q
2021Q1,-0.12355467848676849,Size 5x BM 5 (VW),ret_future_4q
2021Q2,-0.08351154900023464,Size 5x BM 5 (VW),ret_future_4q
2021Q3,-0.11813161391598397,Size 5x BM 5 (VW),ret_future_4q
2021Q4,-0.08068336689718233,Size 5x BM 5 (VW),ret_future_4q
2020Q1,-0.03761743972418702,Size 3x BM 3x Mom 3,ret_future_4q
2020Q2,0.0298223264574221,Size 3x BM 3x Mom 3,ret_future_4q
2020Q3,-0.12596406285797548,Size 3x BM 3x Mom 3,ret_future_4q
2020Q4,-0.026657812042226774,Size 3x BM 3x Mom 3,ret_future_4q
2021Q1,-0.06639986138446562,Size 3x BM 3x Mom 3,ret_future_4q
2021Q2,-0.06189973199961724,Size 3x BM 3x Mom 3,ret_future_4q
2021Q3,-0.11255013882154094,Size 3x BM 3x Mom 3,ret_future_4q
2021Q4,-0.08459777636154758,Size 3x BM 3x Mom 3,ret_future_4q
