spec,outcome,test,n_obs_ai,n_obs_non,ai_abret,non_abret,diff,t,p,sig
Size 5x BM 5,ret_future_1q,pooled mean diff,3869,30830,-0.019061023469736236,0.002392056432189733,-0.021453079901925968,-4.112908947649414,3.907045142592658e-05,-0.0215***
Size 5x BM 5,ret_future_1q,quarterly TS mean (HAC),-,-,-,-,-0.019637565439265432,-1.7645559974982998,0.07763841628382838,-0.0196*
Size 5x BM 5 (VW),ret_future_1q,pooled mean diff,3869,30830,0.018338636579740185,0.044624250253971924,-0.02628561367423174,-4.972380385269363,6.613577723246777e-07,-0.0263***
Size 5x BM 5 (VW),ret_future_1q,quarterly TS mean (HAC),-,-,-,-,-0.022548774189612847,-2.1539233689747688,0.03124618198024661,-0.0225**
Size 3x BM 3x Mom 3,ret_future_1q,pooled mean diff,3516,29375,-0.01531243211108325,0.0018328003847682965,-0.017145232495851547,-3.202008081754627,0.0013647316918627972,-0.0171***
Size 3x BM 3x Mom 3,ret_future_1q,quarterly TS mean (HAC),-,-,-,-,-0.01595504499368438,-1.6614201820129455,0.09662908723387122,-0.0160*
Size 5x BM 5,ret_future_4q,pooled mean diff,3121,25054,-0.07249851864292721,0.009031207658839933,-0.08152972630176714,-5.024124256867167,5.05734874645114e-07,-0.0815***
Size 5x BM 5,ret_future_4q,quarterly TS mean (HAC),-,-,-,-,-0.07853404415861984,-5.083431259122806,3.706767682306014e-07,-0.0785***
Size 5x BM 5 (VW),ret_future_4q,pooled mean diff,3121,25054,0.05775515469008558,0.1633205528832874,-0.10556539819320182,-6.294501168343787,3.083899802192036e-10,-0.1056***
Size 5x BM 5 (VW),ret_future_4q,quarterly TS mean (HAC),-,-,-,-,-0.08145334269686887,-6.007757938798143,1.8810639825220167e-09,-0.0815***
Size 3x BM 3x Mom 3,ret_future_4q,pooled mean diff,2843,23884,-0.057333809405924654,0.006824653330306639,-0.0641584627362313,-3.813936315907304,0.00013677072641282706,-0.0642***
Size 3x BM 3x Mom 3,ret_future_4q,quarterly TS mean (HAC),-,-,-,-,-0.06073306209176732,-4.370775298635694,1.2380614963679955e-05,-0.0607***
