term,term_type,source,keep_flag,category
artificial intelligence,core,project_defined,1,ai_mention
ai,core,project_defined,1,ai_mention
machine learning,core,project_defined,1,ai_mention
deep learning,core,project_defined,1,ai_mention
neural network,core,project_defined,1,ai_mention
neural networks,core,project_defined,1,ai_mention
natural language processing,core,project_defined,1,ai_mention
computer vision,core,project_defined,1,ai_mention
reinforcement learning,core,project_defined,1,ai_mention
generative ai,core,project_defined,1,ai_mention
large language model,core,project_defined,1,ai_mention
large language models,core,project_defined,1,ai_mention
llm,core,project_defined,1,ai_mention
llms,core,project_defined,1,ai_mention
gpt,core,project_defined,1,ai_mention
chatgpt,core,project_defined,1,ai_mention
generative model,core,project_defined,1,ai_mention
generative models,core,project_defined,1,ai_mention
transformer model,core,project_defined,1,ai_mention
supervised learning,core,project_defined,1,ai_mention
unsupervised learning,core,project_defined,1,ai_mention
predictive model,core,project_defined,1,ai_mention
predictive analytics,core,project_defined,1,ai_mention
cognitive computing,core,project_defined,1,ai_mention
robotic process automation,core,project_defined,1,ai_mention
rpa,core,project_defined,1,ai_mention
intelligent automation,core,project_defined,1,ai_mention
automation,extended,project_defined,1,ai_mention
automated,extended,project_defined,1,ai_mention
algorithm,extended,project_defined,1,ai_mention
algorithms,extended,project_defined,1,ai_mention
algorithmic,extended,project_defined,1,ai_mention
data analytics,extended,project_defined,1,ai_mention
data science,extended,project_defined,1,ai_mention
data driven,extended,project_defined,1,ai_mention
data-driven,extended,project_defined,1,ai_mention
cloud computing,extended,project_defined,1,ai_mention
edge computing,extended,project_defined,1,ai_mention
internet of things,extended,project_defined,1,ai_mention
iot,extended,project_defined,1,ai_mention
robotics,extended,project_defined,1,ai_mention
autonomous,extended,project_defined,1,ai_mention
smart technology,extended,project_defined,1,ai_mention
adapt,w2v_expanded,word2vec_earnings_calls,1,adoption
adaptation,w2v_expanded,word2vec_earnings_calls,1,adoption
adopt,w2v_expanded,word2vec_earnings_calls,1,adoption
affords,w2v_expanded,word2vec_earnings_calls,1,adoption
alfasigma,w2v_expanded,word2vec_earnings_calls,1,adoption
allocate,w2v_expanded,word2vec_earnings_calls,1,adoption
allocating,w2v_expanded,word2vec_earnings_calls,1,adoption
augment,w2v_expanded,word2vec_earnings_calls,1,adoption
coinvest,w2v_expanded,word2vec_earnings_calls,1,adoption
commercialization,w2v_expanded,word2vec_earnings_calls,1,adoption
commercialize,w2v_expanded,word2vec_earnings_calls,1,adoption
debut,w2v_expanded,word2vec_earnings_calls,1,adoption
deployable,w2v_expanded,word2vec_earnings_calls,1,adoption
deployed,w2v_expanded,word2vec_earnings_calls,1,adoption
deployer,w2v_expanded,word2vec_earnings_calls,1,adoption
deploying,w2v_expanded,word2vec_earnings_calls,1,adoption
deployment,w2v_expanded,word2vec_earnings_calls,1,adoption
deploys,w2v_expanded,word2vec_earnings_calls,1,adoption
devise,w2v_expanded,word2vec_earnings_calls,1,adoption
devising,w2v_expanded,word2vec_earnings_calls,1,adoption
embed,w2v_expanded,word2vec_earnings_calls,1,adoption
enact,w2v_expanded,word2vec_earnings_calls,1,adoption
establish,w2v_expanded,word2vec_earnings_calls,1,adoption
execute,w2v_expanded,word2vec_earnings_calls,1,adoption
generate,w2v_expanded,word2vec_earnings_calls,1,adoption
gogocasino,w2v_expanded,word2vec_earnings_calls,1,adoption
harmonize,w2v_expanded,word2vec_earnings_calls,1,adoption
implementation,w2v_expanded,word2vec_earnings_calls,1,adoption
implemented,w2v_expanded,word2vec_earnings_calls,1,adoption
implementing,w2v_expanded,word2vec_earnings_calls,1,adoption
incorporate,w2v_expanded,word2vec_earnings_calls,1,adoption
instituted,w2v_expanded,word2vec_earnings_calls,1,adoption
integrate,w2v_expanded,word2vec_earnings_calls,1,adoption
introduction,w2v_expanded,word2vec_earnings_calls,1,adoption
invest,w2v_expanded,word2vec_earnings_calls,1,adoption
launched,w2v_expanded,word2vec_earnings_calls,1,adoption
launching,w2v_expanded,word2vec_earnings_calls,1,adoption
lubiprostone,w2v_expanded,word2vec_earnings_calls,1,adoption
ogluo,w2v_expanded,word2vec_earnings_calls,1,adoption
operationalize,w2v_expanded,word2vec_earnings_calls,1,adoption
prelaunch,w2v_expanded,word2vec_earnings_calls,1,adoption
prelaunched,w2v_expanded,word2vec_earnings_calls,1,adoption
product,w2v_expanded,word2vec_earnings_calls,1,adoption
pursue,w2v_expanded,word2vec_earnings_calls,1,adoption
reallocate,w2v_expanded,word2vec_earnings_calls,1,adoption
redeploy,w2v_expanded,word2vec_earnings_calls,1,adoption
reditrex,w2v_expanded,word2vec_earnings_calls,1,adoption
reinvest,w2v_expanded,word2vec_earnings_calls,1,adoption
relaunch,w2v_expanded,word2vec_earnings_calls,1,adoption
reorganize,w2v_expanded,word2vec_earnings_calls,1,adoption
repatriate,w2v_expanded,word2vec_earnings_calls,1,adoption
resultz,w2v_expanded,word2vec_earnings_calls,1,adoption
rollout,w2v_expanded,word2vec_earnings_calls,1,adoption
standardize,w2v_expanded,word2vec_earnings_calls,1,adoption
streamline,w2v_expanded,word2vec_earnings_calls,1,adoption
successful,w2v_expanded,word2vec_earnings_calls,1,adoption
transcyte,w2v_expanded,word2vec_earnings_calls,1,adoption
trickster,w2v_expanded,word2vec_earnings_calls,1,adoption
utilize,w2v_expanded,word2vec_earnings_calls,1,adoption
biomedical,w2v_expanded,word2vec_earnings_calls,1,innovation
bisson,w2v_expanded,word2vec_earnings_calls,1,innovation
blueprint,w2v_expanded,word2vec_earnings_calls,1,innovation
bring,w2v_expanded,word2vec_earnings_calls,1,innovation
build,w2v_expanded,word2vec_earnings_calls,1,innovation
burnham,w2v_expanded,word2vec_earnings_calls,1,innovation
chronux,w2v_expanded,word2vec_earnings_calls,1,innovation
clinical,w2v_expanded,word2vec_earnings_calls,1,innovation
codevelop,w2v_expanded,word2vec_earnings_calls,1,innovation
cofounded,w2v_expanded,word2vec_earnings_calls,1,innovation
collaborate,w2v_expanded,word2vec_earnings_calls,1,innovation
cooperate,w2v_expanded,word2vec_earnings_calls,1,innovation
create,w2v_expanded,word2vec_earnings_calls,1,innovation
developed,w2v_expanded,word2vec_earnings_calls,1,innovation
developing,w2v_expanded,word2vec_earnings_calls,1,innovation
development,w2v_expanded,word2vec_earnings_calls,1,innovation
discover,w2v_expanded,word2vec_earnings_calls,1,innovation
