dimension,outcome,bin,weight,n_quarters,mean_spread,hac_t,hac_p,sig
Size,ret_future_1q,Large,ew,10,-0.016757112976163127,-2.59143599872075,0.00955763174899301,-0.0168***
Size,ret_future_1q,Large,vw,10,-0.017626749747177445,-1.4599525196648986,0.1443031235507529,-0.0176
Size,ret_future_1q,Mid,ew,10,-0.019417673284893473,-1.0046130740656247,0.3150831993432982,-0.0194
Size,ret_future_1q,Mid,vw,10,-0.024211585942516017,-1.407899727998155,0.1591607636587199,-0.0242
Size,ret_future_1q,Small,ew,10,-0.01029045939700253,-0.41620984292100643,0.6772564578218572,-0.0103
Size,ret_future_1q,Small,vw,10,0.007269769044464009,0.340325858763708,0.7336111456576411,0.0073
Size,ret_future_4q,Large,ew,8,-0.09203267068679019,-7.360143199578938,1.8371304384386144e-13,-0.0920***
Size,ret_future_4q,Large,vw,8,-0.05395743294060835,-1.891087386038804,0.058612680066685595,-0.0540*
Size,ret_future_4q,Mid,ew,8,-0.1418217559022078,-9.060203456993243,1.302074559949122e-19,-0.1418***
Size,ret_future_4q,Mid,vw,8,-0.0602352761658575,-1.2377305172845852,0.21581599959699616,-0.0602
Size,ret_future_4q,Small,ew,8,-0.06870850976698814,-1.3216410912625174,0.1862876934239045,-0.0687
Size,ret_future_4q,Small,vw,8,0.0157567671524051,0.3344844660661974,0.7380140108525726,0.0158
BM,ret_future_1q,HighBM(value),ew,10,-0.01871284376066697,-1.4598880080724257,0.14432085553440668,-0.0187
BM,ret_future_1q,HighBM(value),vw,10,-0.025812846384287786,-2.149715147330608,0.03157775355276049,-0.0258**
BM,ret_future_1q,LowBM(growth),ew,10,-0.024126495296535287,-1.9199166616415297,0.05486842697820868,-0.0241*
BM,ret_future_1q,LowBM(growth),vw,10,-0.015335425037879269,-1.0399179905898737,0.29837800336744913,-0.0153
BM,ret_future_1q,MidBM,ew,10,-0.016290166452969563,-1.293591624819971,0.1958065168997235,-0.0163
BM,ret_future_1q,MidBM,vw,10,-0.024172199516452518,-5.131746607825192,2.87065792234848e-07,-0.0242***
BM,ret_future_4q,HighBM(value),ew,8,-0.09706697510788627,-3.3034048060239503,0.0009551839333889185,-0.0971***
BM,ret_future_4q,HighBM(value),vw,8,-0.08933269871936722,-6.138907798054194,8.309077382354071e-10,-0.0893***
BM,ret_future_4q,LowBM(growth),ew,8,-0.1083117523910932,-2.4952964588876867,0.012585193472871861,-0.1083**
BM,ret_future_4q,LowBM(growth),vw,8,-0.019403026128630946,-0.4858896949810356,0.6270453751097576,-0.0194
BM,ret_future_4q,MidBM,ew,8,-0.05312328120484102,-2.143901371839865,0.032040790265024474,-0.0531**
BM,ret_future_4q,MidBM,vw,8,-0.0729072120517036,-8.234368299287937,1.805075685064633e-16,-0.0729***
Industry,ret_future_1q,CommSvc,ew,10,-0.010330957398539611,-0.6503383691040634,0.5154736779140663,-0.0103
Industry,ret_future_1q,CommSvc,vw,10,0.05678504435616272,1.8170261386604702,0.0692131110990967,0.0568*
Industry,ret_future_1q,ConsDiscr,ew,10,-0.04270000659501585,-2.358402180358829,0.018353796273016438,-0.0427**
Industry,ret_future_1q,ConsDiscr,vw,10,-0.012225072161727048,-1.3599422421266723,0.17384820206683127,-0.0122
Industry,ret_future_1q,ConsStaples,ew,10,-0.00793271895586459,-0.6476947188339349,0.5171824206908577,-0.0079
Industry,ret_future_1q,ConsStaples,vw,10,-0.018369808493075807,-2.2628413984722893,0.02364546790884288,-0.0184**
Industry,ret_future_1q,Energy,ew,10,0.005696895785181075,0.31165267888416454,0.7553044946818795,0.0057
Industry,ret_future_1q,Energy,vw,10,-0.03538246637479934,-2.2805339502565896,0.02257603960091729,-0.0354**
Industry,ret_future_1q,Financials,ew,10,-0.03354374599786521,-2.5441118836163565,0.010955598664826377,-0.0335**
Industry,ret_future_1q,Financials,vw,10,-0.03616709059580782,-2.8481626109677585,0.004397245030395844,-0.0362***
Industry,ret_future_1q,HealthCare,ew,10,-0.019764065521540766,-1.4181595121825865,0.15614419955457287,-0.0198
Industry,ret_future_1q,HealthCare,vw,10,0.002221347488880824,0.32092016596707856,0.7482708913570981,0.0022
Industry,ret_future_1q,Industrials,ew,10,-0.007493793405574699,-0.5033548930515396,0.6147147790352245,-0.0075
Industry,ret_future_1q,Industrials,vw,10,-0.0019965781815885807,-0.2967330410999955,0.7666703293892372,-0.0020
Industry,ret_future_1q,InfoTech,ew,10,-0.006012334237699542,-0.47296597791428796,0.6362374521170364,-0.0060
Industry,ret_future_1q,InfoTech,vw,10,-0.03557651078383089,-1.2346253025064786,0.21696998766895037,-0.0356
Industry,ret_future_1q,Materials,ew,9,0.03430255593029953,0.8827141167259226,0.3773907529499889,0.0343
Industry,ret_future_1q,Materials,vw,9,0.04883267303427753,1.3106265962298675,0.18998394913344485,0.0488
Industry,ret_future_1q,RealEstate,ew,10,-0.012146607793243974,-0.5072828537683809,0.6119563675192137,-0.0121
Industry,ret_future_1q,RealEstate,vw,10,0.011734877370348106,0.7820129673594278,0.4342069528240401,0.0117
Industry,ret_future_1q,Utilities,ew,6,0.035323584663391666,2.210197563355347,0.027091454017899405,0.0353**
Industry,ret_future_1q,Utilities,vw,6,0.03717481785574198,2.615680741169256,0.008904977740365397,0.0372***
Industry,ret_future_4q,CommSvc,ew,8,-0.1463473307427952,-2.192303261025285,0.02835761645179284,-0.1463**
Industry,ret_future_4q,CommSvc,vw,8,0.14368130385794792,1.8677504405499261,0.06179686430030671,0.1437*
Industry,ret_future_4q,ConsDiscr,ew,8,-0.25247548523931923,-2.6285131307964495,0.00857590445370169,-0.2525***
Industry,ret_future_4q,ConsDiscr,vw,8,-0.1978212647689775,-2.1601534399016113,0.030760793183704418,-0.1978**
