yq,bin,n_ai,n_non,ew_spread,vw_spread
2020Q1,LowBM(growth),161,962,0.04291912873653353,0.02961729419144138
2020Q1,MidBM,105,1017,-0.001967246764819408,-0.03639927549208269
2020Q1,HighBM(value),79,1044,0.010832749646288331,-0.05675067175157411
2020Q2,LowBM(growth),129,1079,-0.005465293517816758,-0.09131342832474719
2020Q2,MidBM,81,1126,0.052246468394251976,-0.023801473668573908
2020Q2,HighBM(value),39,1169,0.026721391459872144,0.027340850458809633
2020Q3,LowBM(growth),175,1013,-0.07114433999860698,-0.04426576533281054
2020Q3,MidBM,105,1082,0.021038716903587162,-0.054849668153342024
2020Q3,HighBM(value),53,1135,0.007921406373665563,0.022752003804369814
2020Q4,LowBM(growth),194,988,-0.05720870242144162,0.022156361999259515
2020Q4,MidBM,136,1046,-0.02942634869494723,-0.010469142833763656
2020Q4,HighBM(value),76,1106,-0.02574617531133666,-0.0011289666300621504
2021Q1,LowBM(growth),193,972,-0.003186484582064386,0.057574786772680436
2021Q1,MidBM,127,1038,-0.0405203507684138,-0.01679855327640973
2021Q1,HighBM(value),116,1050,0.015173973746803904,-0.029322742775198002
2021Q2,LowBM(growth),227,998,0.02272605083779643,0.013461284446436343
2021Q2,MidBM,141,1082,-0.014761890032124352,-0.0331492420648266
2021Q2,HighBM(value),90,1135,-0.050235893212998886,-0.04713926606219403
2021Q3,LowBM(growth),219,1013,-0.007867428909624979,-0.007541749635468636
2021Q3,MidBM,145,1086,-0.04532739438831501,-0.02255051797016363
2021Q3,HighBM(value),88,1144,-0.052718185773543286,-0.017799158144873272
2021Q4,LowBM(growth),227,1027,-0.044901762960525005,-0.03176759518172495
2021Q4,MidBM,165,1088,-0.04321329422678144,0.028709385091171158
2021Q4,HighBM(value),107,1147,-0.05111899721678359,-0.08311526767658554
2022Q1,LowBM(growth),209,1023,-0.03157954510231792,-0.04809955898689611
2022Q1,MidBM,163,1069,-0.04195671148309271,-0.05647787240210744
2022Q1,HighBM(value),110,1122,-0.05162924952839604,0.01599312295522609
2022Q2,LowBM(growth),90,670,-0.08555657504728519,-0.05317588032696293
2022Q2,MidBM,68,691,-0.01901361346904082,-0.015935634394426662
2022Q2,HighBM(value),51,708,-0.016329457790241184,-0.0889583680207963
