yq,bin,n_ai,n_non,ew_spread,vw_spread
2020Q1,CommSvc,30,142,-0.3447939791113428,0.2720436009874474
2020Q1,ConsDiscr,47,344,-0.34670206329441866,-0.6242029615735557
2020Q1,ConsStaples,8,117,-0.12769238007438344,-0.005385125265077173
2020Q1,Energy,8,215,-0.3020934213888924,-0.13885983655264333
2020Q1,Financials,29,473,-0.06028347385436261,-0.10896409048126265
2020Q1,HealthCare,53,586,-0.02725677129503934,0.04829531848247326
2020Q1,Industrials,39,449,0.041075736669508256,0.03325549563968733
2020Q1,InfoTech,121,329,-0.3023386955102598,-0.3208516515043758
2020Q1,Materials,6,187,0.022725907556769398,0.4192620277458857
2020Q1,RealEstate,5,170,-0.2111278389134666,-0.07989577775155765
2020Q1,Utilities,6,76,-0.13658324992280604,-0.09162408043898826
2020Q2,CommSvc,27,149,-0.2988511122547982,0.15497181468709575
2020Q2,ConsDiscr,19,396,-0.4943948553999258,-0.2859396084979681
2020Q2,ConsStaples,7,122,-0.05418048379422685,0.1439243128928448
2020Q2,Energy,8,219,-0.039414213130439135,0.009342535297935495
2020Q2,Financials,19,572,-0.12481992663031705,-0.2167356457667945
2020Q2,HealthCare,29,677,0.1796358907376412,0.03711009799433823
2020Q2,Industrials,25,473,-4.621479361266445e-05,0.12711530870989318
2020Q2,InfoTech,107,356,0.04280592579074194,-0.24069423262396383
2020Q2,RealEstate,6,179,0.09791299434516099,-0.005264426614278506
2020Q3,CommSvc,25,151,-0.3093315492194475,0.2857344591293144
2020Q3,ConsDiscr,36,375,-0.597345732507591,-0.33869090804809115
2020Q3,ConsStaples,7,123,-0.1895750522860288,0.05695270559836382
2020Q3,Energy,10,211,-0.47163198129169426,0.1422042130351795
2020Q3,Financials,26,500,-0.27804592440620607,-0.4162566301356736
2020Q3,HealthCare,50,650,-0.1830582427855559,0.03803200242084065
2020Q3,Industrials,40,460,-0.08091747518519576,0.07561275591043576
2020Q3,InfoTech,127,340,-0.057898550829373285,0.02222736557973376
2020Q3,Materials,4,193,-0.2363078461326189,0.7452995014704807
2020Q3,RealEstate,3,176,0.22701439865912054,0.2056470722220607
2020Q3,Utilities,3,78,0.18942912786754354,-0.07467551933760358
2020Q4,CommSvc,33,143,-0.037486402254579054,0.31751976760289813
2020Q4,ConsDiscr,51,368,-0.23837305444472356,-0.19104809547694682
2020Q4,ConsStaples,12,124,0.043563639182420205,-0.10166923553707735
2020Q4,Energy,16,203,-0.3207094696503664,-0.14642815766355177
2020Q4,Financials,39,471,-0.108476145526402,-0.22645353841004248
2020Q4,HealthCare,64,627,0.11145325881969999,0.019432115713166803
2020Q4,Industrials,48,437,-0.038407895044327844,0.009491359160860247
2020Q4,InfoTech,134,339,-0.05036563442612768,0.0726148467305946
2020Q4,Materials,5,181,-0.05327218228585945,0.2029767635315433
2020Q4,RealEstate,3,173,-0.08791062836360197,-0.5149484887343407
2020Q4,Utilities,5,77,-0.0007623683248847435,-0.016533268003442847
2021Q1,CommSvc,42,137,-0.13309422460050993,0.23413018178538347
2021Q1,ConsDiscr,49,368,-0.15648228950102563,0.003707649867531964
2021Q1,ConsStaples,12,121,0.03427392130869793,-0.01311700047789817
2021Q1,Energy,10,199,-0.08592070239184191,0.1345281816640509
2021Q1,Financials,51,449,-0.07279828849534947,-0.15485942552540766
2021Q1,HealthCare,75,665,0.055042601696595195,-0.1282737789576882
2021Q1,Industrials,44,444,0.05253630595495662,-0.03883442562503769
2021Q1,InfoTech,140,335,0.013440101752890045,0.281019363361283
2021Q1,Materials,6,183,0.12007336480824593,0.019438969174952025
2021Q1,RealEstate,10,164,-0.18866002569061927,-0.19072996901011313
2021Q2,CommSvc,28,151,-0.06335622483929632,0.11363660499432393
2021Q2,ConsDiscr,53,383,-0.0857257516950029,-0.12096080836615164
2021Q2,ConsStaples,7,132,0.028085632280189565,0.15639884297853027
2021Q2,Energy,11,206,0.02627363625236076,-0.039264150535915254
2021Q2,Financials,43,525,-0.12665447045251116,0.020670281667827917
2021Q2,HealthCare,73,684,0.14457681010915024,0.11590455793717619
2021Q2,Industrials,61,436,-0.0320015979352016,0.020810754620458838
2021Q2,InfoTech,162,328,-0.05192890994129873,0.00860171875483487
2021Q2,Materials,6,183,-0.2945454528754843,-0.12147861187584794
2021Q2,RealEstate,11,166,0.0033452888669818215,0.004362291996246576
2021Q2,Utilities,6,76,-0.0720382481578935,-0.06786052595619
2021Q3,CommSvc,43,147,0.035928507709145574,-0.03095250062225352
2021Q3,ConsDiscr,38,409,-0.09711271274081318,0.008814664205639755
