yq,bin,n_ai,n_non,ew_spread,vw_spread
2020Q1,Small,92,1055,0.18697501569957886,0.21039449291392753
2020Q1,Mid,123,1024,-0.06203824937424618,0.14626345855088585
2020Q1,Large,137,1010,-0.09635900665410291,-0.08709866417282852
2020Q2,Small,67,1158,0.13651386487923467,0.1869148270224531
2020Q2,Mid,83,1141,-0.08979981639601164,0.10630159362773983
2020Q2,Large,101,1123,-0.10542662740363129,-0.052309936441098936
2020Q3,Small,99,1098,-0.29793579403295756,-0.09137978380937839
2020Q3,Mid,116,1080,-0.23806685189692528,-0.1371212258042842
2020Q3,Large,116,1080,-0.16301996273539587,-0.02676200690271846
2020Q4,Small,105,1080,-0.14136399336511948,0.03392564673357919
2020Q4,Mid,135,1049,-0.09111477293373263,-0.07370001634087808
2020Q4,Large,169,1015,-0.08325260417282448,0.029051926631632197
2021Q1,Small,130,1063,-0.12427185228642496,-0.0005142071017981698
2021Q1,Mid,126,1067,-0.13261229231329125,-0.07156797891127373
2021Q1,Large,185,1008,-0.0551268241074602,0.03329804927856499
2021Q2,Small,122,1122,-0.05409834252303125,0.00673541980954967
2021Q2,Mid,152,1091,-0.19425325897881854,-0.1818708049710251
2021Q2,Large,187,1057,-0.04946847839030798,-0.04157890625231711
2021Q3,Small,141,1102,-0.11514103432829459,-0.10508487128681387
2021Q3,Mid,146,1096,-0.19620602463165596,-0.1448861283082235
2021Q3,Large,170,1073,-0.09528068390256589,-0.1342551815177215
2021Q4,Small,149,1103,-0.1403459421788908,-0.11493738706227824
2021Q4,Mid,160,1091,-0.13048278069298103,-0.12530110716980108
2021Q4,Large,191,1060,-0.08832717812803287,-0.15200474414837944
