outcome,size_tercile,weight,n_quarters,mean_spread,hac_t,hac_p,sig
ret_future_1q,Large,ew,10,-0.016757112976163127,-2.59143599872075,0.00955763174899301,-0.0168***
ret_future_1q,Large,vw,10,-0.017626749747177445,-1.4599525196648986,0.1443031235507529,-0.0176
ret_future_1q,Mid,ew,10,-0.019417673284893473,-1.0046130740656247,0.3150831993432982,-0.0194
ret_future_1q,Mid,vw,10,-0.024211585942516017,-1.407899727998155,0.1591607636587199,-0.0242
ret_future_1q,Small,ew,10,-0.01029045939700253,-0.41620984292100643,0.6772564578218572,-0.0103
ret_future_1q,Small,vw,10,0.007269769044464009,0.340325858763708,0.7336111456576411,0.0073
ret_future_4q,Large,ew,8,-0.09203267068679019,-7.360143199578938,1.8371304384386144e-13,-0.0920***
ret_future_4q,Large,vw,8,-0.05395743294060835,-1.891087386038804,0.058612680066685595,-0.0540*
ret_future_4q,Mid,ew,8,-0.1418217559022078,-9.060203456993243,1.302074559949122e-19,-0.1418***
ret_future_4q,Mid,vw,8,-0.0602352761658575,-1.2377305172845852,0.21581599959699616,-0.0602
ret_future_4q,Small,ew,8,-0.06870850976698814,-1.3216410912625174,0.1862876934239045,-0.0687
ret_future_4q,Small,vw,8,0.0157567671524051,0.3344844660661974,0.7380140108525726,0.0158
