portfolio,outcome,model,n_obs,alpha,alpha_t,alpha_p,alpha_sig,r2
AI dummy EW,ret_future_1q,CAPM,10,-0.017666382323683113,-1.2529470585133122,0.21022497429026032,-0.0177,0.011146882482692355
AI dummy EW,ret_future_1q,FF3,10,-0.015491238999978056,-2.3737963041460044,0.017606260334034753,-0.0155**,0.35817415000063935
AI dummy EW,ret_future_1q,Carhart4,10,-0.01507985968048303,-1.8511236654373464,0.06415176422465266,-0.0151*,0.3585048059023802
AI dummy EW,ret_future_1q,FF5+MOM,10,-0.009214845023072338,-1.507145514379179,0.13177336257025832,-0.0092,0.38875874942409283
AI dummy EW,ret_future_4q,CAPM,8,-0.1018165990683785,-8.349754966718015,6.840472890790579e-17,-0.1018***,0.00020339726723384022
AI dummy EW,ret_future_4q,FF3,8,-0.0972953707750851,-10.501151685536332,8.533259431993626e-26,-0.0973***,0.22334295321924813
AI dummy EW,ret_future_4q,Carhart4,8,-0.08998716360135431,-10.954537600972671,6.320031073111706e-28,-0.0900***,0.6216293245380731
AI dummy EW,ret_future_4q,FF5+MOM,8,-0.09253050265715987,-12.872050033433162,6.466279714967682e-38,-0.0925***,0.654083097752979
AI dummy VW,ret_future_1q,CAPM,10,-0.01639613105823344,-1.2733487130380916,0.20289432797221596,-0.0164,0.040656931977550714
AI dummy VW,ret_future_1q,FF3,10,-0.01486436145428971,-1.2633941600052248,0.20644756187771807,-0.0149,0.13483583733961446
AI dummy VW,ret_future_1q,Carhart4,10,-0.006185053390185978,-0.6668724242026189,0.5048536264415341,-0.0062,0.32686532559623627
AI dummy VW,ret_future_1q,FF5+MOM,10,0.014214350197034313,1.403352056698958,0.1605118820847108,0.0142,0.6321722424952001
AI dummy VW,ret_future_4q,CAPM,8,-0.06125469695725119,-2.5500121697381215,0.0107719158849504,-0.0613**,0.11610797700927433
AI dummy VW,ret_future_4q,FF3,8,-0.04679172188003124,-3.747828329496409,0.0001783722652956118,-0.0468***,0.6790673490823733
AI dummy VW,ret_future_4q,Carhart4,8,-0.05381071268476053,-12.117284333343234,8.554698747724109e-34,-0.0538***,0.9300823736445641
AI dummy VW,ret_future_4q,FF5+MOM,8,-0.05730429730684536,-16.252770214819858,2.134954687387933e-59,-0.0573***,0.9431417359900927
AI-pos intensity EW,ret_future_1q,CAPM,10,0.001375535995198406,0.14831938400726233,0.8820907183231828,0.0014,0.051883828292718426
AI-pos intensity EW,ret_future_1q,FF3,10,0.003405800120493628,0.5772953378773289,0.563739962556222,0.0034,0.4159085152823364
AI-pos intensity EW,ret_future_1q,Carhart4,10,-0.009344975896416538,-3.8902823176938974,0.00010012766295930262,-0.0093***,0.8542896975442585
AI-pos intensity EW,ret_future_1q,FF5+MOM,10,-0.006816934861348118,-2.769123913557408,0.005620725372730462,-0.0068***,0.8838404119656489
AI-pos intensity EW,ret_future_4q,CAPM,8,0.04314724882346664,1.194144694332266,0.23242137265230534,0.0431,0.2637215216030574
AI-pos intensity EW,ret_future_4q,FF3,8,0.020932680174587947,1.779916555053543,0.07508961794003417,0.0209*,0.7564175052545297
AI-pos intensity EW,ret_future_4q,Carhart4,8,0.01242982155072235,2.7401085557680416,0.0061418894760566795,0.0124***,0.9375930074889416
AI-pos intensity EW,ret_future_4q,FF5+MOM,8,0.013797993322460402,11.421095607783952,3.2807178004378086e-30,0.0138***,0.9967167079311031
AI-pos intensity VW,ret_future_1q,CAPM,10,0.00484901356038225,0.2661234041760663,0.790144170797096,0.0048,0.003063355200656259
AI-pos intensity VW,ret_future_1q,FF3,10,0.005541304045423713,0.3233439242528421,0.7464347922936345,0.0055,0.013639447123534376
AI-pos intensity VW,ret_future_1q,Carhart4,10,0.024516112945028888,1.8515045741810252,0.06409699729679838,0.0245*,0.40872045457742345
AI-pos intensity VW,ret_future_1q,FF5+MOM,10,0.05949679273368315,11.27106692513607,1.8234677050645307e-29,0.0595***,0.8096990038889109
AI-pos intensity VW,ret_future_4q,CAPM,8,-0.009475991872595449,-0.6665499685754356,0.5050596359389925,-0.0095,0.001033811212797442
AI-pos intensity VW,ret_future_4q,FF3,8,-0.0030162512878776524,-0.2501761803083665,0.802451105019202,-0.0030,0.27840023597536645
AI-pos intensity VW,ret_future_4q,Carhart4,8,-0.0051919974469032334,-0.39351797713671055,0.69393694895943,-0.0052,0.30260565615558366
AI-pos intensity VW,ret_future_4q,FF5+MOM,8,0.033482054554899526,1267.7496366932908,0.0,0.0335***,0.9999967983266714
