gvkey,year,quarter,n_rows
10000,2020,1,1
10000,2020,2,1
10000,2020,3,1
10000,2020,4,1
10000,2021,1,1
10000,2021,2,1
10000,2021,3,1
10000,2021,4,1
10000,2022,1,1
10000,2022,2,1
100001,2020,1,1
100001,2020,2,1
100001,2020,3,1
100001,2020,4,1
100001,2021,1,1
100001,2021,2,1
100001,2021,3,1
100001,2021,4,1
100001,2022,1,1
100001,2022,2,1
100010,2020,1,1
100010,2020,2,1
100010,2020,3,1
100010,2020,4,1
100010,2021,1,1
100010,2021,2,1
100010,2021,3,1
100010,2021,4,1
100010,2022,1,1
100010,2022,2,1
100012,2020,1,1
100012,2020,2,1
100012,2020,3,1
100012,2020,4,1
100012,2021,1,1
100012,2021,2,1
100012,2021,3,1
100012,2021,4,1
100012,2022,1,1
100013,2020,1,1
100013,2020,2,1
100013,2020,3,1
100013,2020,4,1
100013,2021,1,1
100013,2021,2,1
100013,2021,3,1
100013,2021,4,1
100013,2022,1,1
100013,2022,2,1
100021,2020,1,1
100021,2021,1,1
100022,2020,1,1
100022,2020,2,1
100022,2020,3,1
100022,2020,4,1
100022,2021,1,1
100022,2021,2,1
100022,2021,3,1
100022,2021,4,1
100022,2022,1,1
100022,2022,2,1
100035,2020,1,1
100035,2020,3,1
100035,2021,1,1
100035,2021,2,1
100035,2021,3,1
100035,2021,4,1
100035,2022,1,1
100041,2020,2,1
100041,2020,4,1
100041,2021,2,1
100041,2021,4,1
100041,2022,2,1
100045,2020,2,1
100045,2020,3,1
100045,2021,1,1
100045,2021,3,1
100045,2021,4,1
100045,2022,1,1
100054,2020,1,1
100054,2020,2,1
100054,2020,3,1
100054,2020,4,1
100054,2021,1,1
100054,2021,3,1
100054,2021,4,1
100054,2022,1,1
100057,2020,1,1
100057,2020,2,1
100057,2020,3,1
100057,2020,4,1
100057,2021,1,1
100057,2021,2,1
100057,2021,3,1
100057,2021,4,1
100057,2022,1,1
100057,2022,2,1
100060,2020,1,1
100060,2020,3,1
100060,2020,4,1
100060,2021,1,1
100060,2021,2,1
100060,2021,3,1
100060,2021,4,1
100060,2022,1,1
100060,2022,2,1
100076,2020,1,1
100076,2020,3,1
100076,2021,1,1
100076,2021,3,1
100076,2022,1,1
10008,2020,1,1
10008,2020,2,1
10008,2020,3,1
10008,2020,4,1
10008,2021,1,1
10008,2021,2,1
10008,2021,3,1
10008,2021,4,1
10008,2022,1,1
10008,2022,2,1
100080,2020,1,1
100080,2020,2,1
100080,2020,3,1
100080,2020,4,1
100080,2021,1,1
100080,2021,2,1
100080,2021,3,1
100080,2021,4,1
100080,2022,1,1
100080,2022,2,1
100083,2020,1,1
100083,2020,2,1
100083,2020,3,1
100083,2020,4,1
100083,2021,1,1
100083,2021,2,1
100083,2021,3,1
100083,2021,4,1
100083,2022,1,1
100083,2022,2,1
100088,2020,1,1
100088,2020,3,1
100088,2021,1,1
100088,2021,2,1
100088,2021,3,1
100088,2022,1,1
100091,2020,1,1
100091,2020,3,1
100091,2021,1,1
100091,2021,2,1
100091,2021,3,1
100091,2021,4,1
100091,2022,1,1
100095,2020,1,1
100095,2020,3,1
100095,2020,4,1
100095,2021,1,1
100095,2021,2,1
100095,2021,3,1
100095,2021,4,1
100095,2022,1,1
100102,2020,1,1
100102,2020,2,1
100102,2020,3,1
100102,2020,4,1
100102,2021,1,1
100102,2021,2,1
100102,2021,3,1
100102,2021,4,1
100102,2022,1,1
100103,2020,1,1
100103,2020,2,1
100103,2020,3,1
100103,2020,4,1
100103,2021,1,1
100103,2021,2,1
100103,2021,3,1
100103,2021,4,1
100103,2022,1,1
100103,2022,2,1
100122,2020,1,1
100122,2020,3,1
100122,2021,1,1
100122,2021,3,1
100122,2021,4,1
100122,2022,1,1
100131,2020,1,1
100131,2020,2,1
100131,2020,4,1
100131,2021,1,1
100131,2021,2,1
100131,2021,4,1
100131,2022,1,1
100131,2022,2,1
100132,2020,1,1
100132,2020,2,1
100132,2020,3,1
100132,2021,1,1
100132,2021,2,1
100135,2020,1,1
100135,2020,2,1
100135,2020,4,1
100135,2021,1,1
100135,2021,2,1
100135,2021,3,1
100135,2021,4,1
100135,2022,1,1
100145,2021,2,1
100145,2021,4,1
100145,2022,1,1
100149,2020,1,1
100149,2020,3,1
100149,2021,2,1
100149,2021,3,1
100149,2022,1,1
100153,2020,1,1
100153,2020,2,1
100153,2020,3,1
100153,2020,4,1
100153,2021,1,1
100153,2021,2,1
100153,2021,3,1
100153,2021,4,1
100153,2022,1,1
100158,2020,1,1
100158,2020,2,1
100158,2020,3,1
100158,2020,4,1
100158,2021,1,1
100158,2021,2,1
100158,2021,3,1
100158,2021,4,1
100158,2022,1,1
10016,2020,1,1
10016,2020,2,1
10016,2020,3,1
10016,2020,4,1
10016,2021,1,1
10016,2021,2,1
10016,2021,4,1
10016,2022,1,1
100165,2020,1,1
100165,2020,2,1
100165,2020,3,1
100165,2020,4,1
100165,2021,1,1
100165,2021,2,1
100165,2021,3,1
100165,2022,1,1
100165,2022,2,1
100166,2020,2,1
100166,2021,1,1
100166,2021,2,1
100166,2021,3,1
100166,2021,4,1
100166,2022,1,1
100171,2020,1,1
100171,2020,3,1
100171,2021,1,1
100171,2021,3,1
100171,2022,1,1
100171,2022,2,1
100174,2020,3,1
100174,2020,4,1
100174,2021,2,1
100174,2021,4,1
100190,2020,2,1
100190,2020,4,1
100190,2021,2,1
100190,2021,4,1
100192,2020,1,1
100192,2020,2,1
100192,2020,3,1
100192,2020,4,1
100192,2021,1,1
100192,2021,2,1
100223,2020,1,1
100223,2020,3,1
100223,2020,4,1
100223,2021,1,1
100223,2021,3,1
100223,2022,1,1
100240,2020,1,1
100240,2020,3,1
100240,2021,1,1
100240,2021,3,1
100240,2022,1,1
100243,2020,1,1
100243,2020,2,1
100243,2020,3,1
100243,2020,4,1
100243,2021,1,1
100243,2021,2,1
100243,2021,3,1
100243,2021,4,1
100243,2022,1,1
100243,2022,2,1
100245,2020,1,1
100245,2020,2,1
100245,2020,3,1
100245,2020,4,1
100245,2021,1,1
100245,2021,2,1
100245,2021,3,1
100245,2021,4,1
100245,2022,1,1
100245,2022,2,1
100250,2020,1,1
100250,2020,2,1
100250,2020,3,1
100250,2020,4,1
100250,2021,1,1
100250,2021,2,1
100250,2021,3,1
100250,2022,1,1
100251,2020,1,1
100251,2020,2,1
100251,2020,3,1
100251,2020,4,1
100251,2021,1,1
100251,2021,2,1
100251,2021,3,1
100251,2022,1,1
100253,2020,2,1
100253,2020,4,1
100253,2021,2,1
100253,2021,3,1
100253,2021,4,1
100253,2022,1,1
100258,2020,1,1
100258,2020,2,1
100258,2020,3,1
100258,2020,4,1
100258,2021,1,1
100258,2021,2,1
100258,2021,3,1
