outcome,tech,size_tercile,weight,n_quarters,spread,hac_t,hac_p,sig
ret_future_1q,Non-Tech,Small,ew,10,-0.005789521101378139,-0.12237037067288224,0.9026057029078879,-0.0058
ret_future_1q,Non-Tech,Small,vw,10,0.034780721282552045,0.7713170432939833,0.44051903265602477,0.0348
ret_future_1q,Non-Tech,Mid,ew,10,-0.03226301168497865,-3.9824711593143407,6.820240326548349e-05,-0.0323***
ret_future_1q,Non-Tech,Mid,vw,10,-0.028680707821063446,-2.7309730256732285,0.006314763990130334,-0.0287***
ret_future_1q,Non-Tech,Large,ew,10,-0.012836241042658573,-2.024130700172869,0.04295670557662149,-0.0128**
ret_future_1q,Non-Tech,Large,vw,10,-0.017111840510705807,-1.8634602201611292,0.06239754427737294,-0.0171*
ret_future_1q,Tech,Small,ew,10,-0.01439371661718914,-0.956543907703061,0.33879751234696476,-0.0144
ret_future_1q,Tech,Small,vw,10,-0.039378063673111426,-2.285472798365882,0.022285119654394926,-0.0394**
ret_future_1q,Tech,Mid,ew,10,0.003987534098089622,0.16656895036125866,0.8677092263551152,0.0040
ret_future_1q,Tech,Mid,vw,10,-0.022423542718160196,-0.9418066174581469,0.3462916565622437,-0.0224
ret_future_1q,Tech,Large,ew,10,-0.005678472037805654,-0.5785960792444319,0.5628617508896585,-0.0057
ret_future_1q,Tech,Large,vw,10,-0.018530965146538812,-0.7445645661697969,0.4565349954239275,-0.0185
ret_future_4q,Non-Tech,Small,ew,8,-0.059776495256679774,-0.5554048455813118,0.5786177789795753,-0.0598
ret_future_4q,Non-Tech,Small,vw,8,0.057538394012148227,0.5273037674718911,0.5979826584169659,0.0575
ret_future_4q,Non-Tech,Mid,ew,8,-0.15067535981852337,-8.45673211446214,2.7497462346475897e-17,-0.1507***
ret_future_4q,Non-Tech,Mid,vw,8,-0.09017996439822945,-3.6006859547656176,0.0003173787419522539,-0.0902***
ret_future_4q,Non-Tech,Large,ew,8,-0.06850420118581547,-6.08010673817075,1.2010257025684208e-09,-0.0685***
ret_future_4q,Non-Tech,Large,vw,8,-0.09994481050927817,-8.061964081470338,7.507826352866285e-16,-0.0999***
ret_future_4q,Tech,Small,ew,8,-0.14313990834464346,-2.76979998547042,0.005609072549592898,-0.1431***
ret_future_4q,Tech,Small,vw,8,-0.13935052788996852,-2.7081275255998265,0.006766401695733451,-0.1394***
ret_future_4q,Tech,Mid,ew,8,-0.05798116444226411,-3.3088734255765107,0.00093672174828765,-0.0580***
ret_future_4q,Tech,Mid,vw,8,-0.03693135940949069,-0.46426151362104656,0.6424603941680914,-0.0369
ret_future_4q,Tech,Large,ew,8,-0.03116754056965547,-1.5000412872884314,0.13360370800822527,-0.0312
ret_future_4q,Tech,Large,vw,8,0.023276443968922048,0.3073786452757326,0.7585551805386281,0.0233
