variable,n_missing,missing_rate,n_nonmissing
ret_future_1q,38065,0.510871024023621,36445
ret_future_4q,45356,0.6087236612535231,29154
bert_adoption_dummy,0,0.0,74510
bert_adoption_log_count,0,0.0,74510
bert_adoption_per_1k_words,0,0.0,74510
size,33289,0.44677224533619647,41221
bm,34757,0.4664742987518454,39753
leverage,33289,0.44677224533619647,41221
profitability,33293,0.4468259294054489,41217
investment,33679,0.4520064420883103,40831
momentum,39817,0.5343846463561938,34693
mktcap_m,37906,0.5087370822708361,36604
rd,33289,0.44677224533619647,41221
capex,33289,0.44677224533619647,41221
