model,outcome,ai_var,controls,fixed_effects,clusters,n_obs,n_firms,n_quarters,status,r2,term,coef,se,t,p
1Q | bert_adoption_dummy | minimal_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, momentum",industry_fe + yq,gvkey,32891,4418,10,ok_clustered,0.0017160646988954031,bert_adoption_dummy,-0.015605566681654715,0.005949366156251573,-2.623063746926459,0.008714296601792808
1Q | bert_adoption_dummy | minimal_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, momentum",industry_fe + yq,gvkey,32891,4418,10,ok_clustered,0.0017160646988954031,size,-0.0007052698445213888,0.0010694835510236549,-0.6594489871736136,0.5096074937719821
1Q | bert_adoption_dummy | minimal_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, momentum",industry_fe + yq,gvkey,32891,4418,10,ok_clustered,0.0017160646988954031,bm,-0.010113895834886743,0.004059944007909011,-2.4911417042166777,0.012733332375666217
1Q | bert_adoption_dummy | minimal_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, momentum",industry_fe + yq,gvkey,32891,4418,10,ok_clustered,0.0017160646988954031,momentum,-0.007872846785726894,0.0016486830024512017,-4.775233792076362,1.794985964804976e-06
1Q | bert_adoption_dummy | minimal_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, momentum",industry_fe + yq,gvkey + yq,32891,4418,10,ok_two_way_clustered,0.0017160646988954031,bert_adoption_dummy,-0.015605566681654715,0.008698531477058867,-1.7940461240856764,0.07280580717903049
1Q | bert_adoption_dummy | minimal_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, momentum",industry_fe + yq,gvkey + yq,32891,4418,10,ok_two_way_clustered,0.0017160646988954031,size,-0.0007052698445213888,0.007897321859985809,-0.08930493869002018,0.9288395692478724
1Q | bert_adoption_dummy | minimal_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, momentum",industry_fe + yq,gvkey + yq,32891,4418,10,ok_two_way_clustered,0.0017160646988954031,bm,-0.010113895834886743,0.0061356482505475,-1.6483826030907578,0.09927418367325702
1Q | bert_adoption_dummy | minimal_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, momentum",industry_fe + yq,gvkey + yq,32891,4418,10,ok_two_way_clustered,0.0017160646988954031,momentum,-0.007872846785726894,0.003813479913594167,-2.064478367294405,0.03897238290971186
1Q | bert_adoption_dummy | minimal_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, momentum",gvkey + yq,gvkey,32891,4418,10,ok_clustered,0.03329035941658265,bert_adoption_dummy,-0.01284604875050641,0.007106213711994703,-1.8077205768274796,0.07065000039337274
1Q | bert_adoption_dummy | minimal_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, momentum",gvkey + yq,gvkey,32891,4418,10,ok_clustered,0.03329035941658265,size,-0.07628713227276986,0.019641673032124038,-3.8839426839048756,0.00010277614526836703
1Q | bert_adoption_dummy | minimal_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, momentum",gvkey + yq,gvkey,32891,4418,10,ok_clustered,0.03329035941658265,bm,-0.025216038758299676,0.00906186034996364,-2.7826558548103044,0.005391596256284217
1Q | bert_adoption_dummy | minimal_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, momentum",gvkey + yq,gvkey,32891,4418,10,ok_clustered,0.03329035941658265,momentum,-0.046740481577366315,0.007439906025890104,-6.282402145230635,3.333811150706928e-10
1Q | bert_adoption_dummy | minimal_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, momentum",gvkey + yq,gvkey + yq,32891,4418,10,ok_two_way_clustered,0.03329035941658265,bert_adoption_dummy,-0.01284604875050641,0.006294039203775755,-2.0409864531508073,0.04125217363317247
