model,outcome,ai_var,controls,fixed_effects,clusters,n_obs,n_firms,n_quarters,status,r2,term,coef,se,t,p
ret_future_1q | bert_adoption_dummy | extended_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008025122152084618,bert_adoption_dummy,-0.015019159175709793,0.005947905887970924,-2.525117151918059,0.011565972584887152
ret_future_1q | bert_adoption_dummy | extended_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008025122152084618,size,-0.0041015734762319695,0.001108440493679857,-3.7003100298288074,0.00021533622886031427
ret_future_1q | bert_adoption_dummy | extended_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008025122152084618,bm,-0.010956260948262528,0.003976636537976228,-2.755157742889507,0.005866384484708246
ret_future_1q | bert_adoption_dummy | extended_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008025122152084618,leverage,0.01602770458545848,0.010496150669990961,1.527007861204062,0.12675905659089964
ret_future_1q | bert_adoption_dummy | extended_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008025122152084618,profitability,0.053270477272638415,0.01754479894983232,3.0362546430403827,0.002395369722349375
ret_future_1q | bert_adoption_dummy | extended_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008025122152084618,investment,0.02743471778779757,0.007888727513014247,3.477711423361724,0.0005057140528855681
ret_future_1q | bert_adoption_dummy | extended_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008025122152084618,momentum,-0.011455074020002272,0.002149383300679267,-5.329470093297058,9.849973808893612e-08
ret_future_1q | bert_adoption_dummy | extended_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008025122152084618,rd,-0.038762529142858326,0.0339414308238108,-1.1420416936479119,0.2534366894649037
ret_future_1q | bert_adoption_dummy | extended_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008025122152084618,capex,-0.04478340142851695,0.06011519358198987,-0.7449597807156322,0.45629603401537044
ret_future_1q | bert_adoption_dummy | extended_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.04023740594049385,bert_adoption_dummy,-0.012976944976660373,0.007048021645354648,-1.8412180934792501,0.06558960490153219
ret_future_1q | bert_adoption_dummy | extended_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.04023740594049385,size,-0.16353652633804217,0.022766741686325295,-7.183132685002061,6.81319190798217e-13
ret_future_1q | bert_adoption_dummy | extended_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.04023740594049385,bm,-0.02333630889953793,0.008960036555906254,-2.6044881350573466,0.009201160670525803
ret_future_1q | bert_adoption_dummy | extended_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.04023740594049385,leverage,0.014966704637145703,0.0461877642845807,0.32404046545596016,0.7459073986299445
ret_future_1q | bert_adoption_dummy | extended_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.04023740594049385,profitability,0.07847830429268296,0.021694141761449515,3.61748831346437,0.0002974757576696252
ret_future_1q | bert_adoption_dummy | extended_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.04023740594049385,investment,0.04398970544955554,0.009708506259108338,4.531047750861285,5.8691869214194015e-06
ret_future_1q | bert_adoption_dummy | extended_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.04023740594049385,momentum,-0.04893466488898914,0.0078044685616046675,-6.270082902214644,3.6085592662737645e-10
ret_future_1q | bert_adoption_dummy | extended_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.04023740594049385,rd,-0.09859873139715554,0.07619475476251099,-1.2940356813861373,0.19565309621462856
ret_future_1q | bert_adoption_dummy | extended_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.04023740594049385,capex,-0.403314438826328,0.15495958935271928,-2.602707199412506,0.009249090744328982
ret_future_1q | bert_adoption_log_count | extended_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008020335068632534,bert_adoption_log_count,-0.011914307531276829,0.004976768764846473,-2.3939845498617154,0.01666645082560448
ret_future_1q | bert_adoption_log_count | extended_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008020335068632534,size,-0.004125379255647338,0.001105951316697409,-3.730163519282695,0.0001913555398908311
