quarter,outcome,ai_var,n_obs,n_ai_pos,n_ai_zero,status,coef,se,t,p,r2
2020Q1,ret_future_1q,bert_adoption_dummy,3229,322,2907,ok,0.04836687394305036,0.031735029618306106,1.524084726713168,0.12748754750078864,0.1529250342565186
2020Q2,ret_future_1q,bert_adoption_dummy,3504,237,3267,ok,0.03996742198863913,0.02180186493809799,1.8332111542805438,0.0667711757386017,0.06826931164215799
2020Q3,ret_future_1q,bert_adoption_dummy,3443,312,3131,ok,-0.03965492277009582,0.02099262230240209,-1.8889932948280737,0.0588927271718451,0.04391890639418938
2020Q4,ret_future_1q,bert_adoption_dummy,3409,379,3030,ok,-0.02835239885305943,0.018974807635321774,-1.494212716037299,0.13512003002518627,0.07849297099095653
2021Q1,ret_future_1q,bert_adoption_dummy,3296,392,2904,ok,-0.0022495086530741285,0.017311465115625296,-0.12994328544981015,0.8966112977546772,0.06444772120867348
2021Q2,ret_future_1q,bert_adoption_dummy,3418,412,3006,ok,-0.009917164766512237,0.011747381925522523,-0.8442021234506787,0.3985564681685584,0.08799798112260238
2021Q3,ret_future_1q,bert_adoption_dummy,3391,392,2999,ok,-0.03906348076216069,0.011959459057445053,-3.2663250548813685,0.0010895310554710107,0.24280666387580807
2021Q4,ret_future_1q,bert_adoption_dummy,3436,432,3004,ok,-0.02655083714085933,0.01080084858276345,-2.4582176981196198,0.013962850477121175,0.25794477252827597
2022Q1,ret_future_1q,bert_adoption_dummy,3411,417,2994,ok,-0.028307355806071025,0.010284091121388946,-2.7525384082991184,0.005913520931031546,0.14444520912966008
2022Q2,ret_future_1q,bert_adoption_dummy,2221,200,2021,ok,-0.03147003827355097,0.017458453973493698,-1.8025673018544692,0.07145619610725186,0.06409772914586254
2020Q1,ret_future_1q,bert_adoption_log_count,3229,322,2907,ok,0.031415682430596066,0.030255646806675134,1.0383411279002965,0.2991112675485188,0.15268783144222065
2020Q2,ret_future_1q,bert_adoption_log_count,3504,237,3267,ok,0.038077487952792616,0.020234294371549003,1.8818292970143073,0.0598591966237456,0.06850972091576402
2020Q3,ret_future_1q,bert_adoption_log_count,3443,312,3131,ok,-0.02540436275603056,0.02111366306335381,-1.2032191041318623,0.22889154396042266,0.04361854360454265
2020Q4,ret_future_1q,bert_adoption_log_count,3409,379,3030,ok,-0.030189347240150852,0.012795794946732882,-2.3593178357284494,0.018308567267415043,0.0788136903755059
2021Q1,ret_future_1q,bert_adoption_log_count,3296,392,2904,ok,-0.0035367638987760697,0.010244754872328858,-0.34522679584348953,0.729923875511512,0.06446566641488682
2021Q2,ret_future_1q,bert_adoption_log_count,3418,412,3006,ok,-0.007806002782670135,0.008695328019429443,-0.8977237851439143,0.36933282565701986,0.08800322177781628
2021Q3,ret_future_1q,bert_adoption_log_count,3391,392,2999,ok,-0.031336535659746124,0.0093422618044519,-3.354277188508378,0.0007957260824747748,0.24295730934339543
2021Q4,ret_future_1q,bert_adoption_log_count,3436,432,3004,ok,-0.019972763261466454,0.008055073747883309,-2.4795258102652187,0.013155720837669064,0.25782160749998995
2022Q1,ret_future_1q,bert_adoption_log_count,3411,417,2994,ok,-0.02267111181835822,0.007662778946792797,-2.958601830455654,0.0030903811891545285,0.14447714444948256
2022Q2,ret_future_1q,bert_adoption_log_count,2221,200,2021,ok,-0.024287266283626735,0.013648034636354335,-1.7795431306228244,0.07515076031496883,0.06379016820086003
2020Q1,ret_future_1q,bert_adoption_per_1k_words,3229,322,2907,ok,0.04246769664765617,0.06264309268790855,0.6779310347787688,0.49781542137938173,0.1524414701533986
2020Q2,ret_future_1q,bert_adoption_per_1k_words,3504,237,3267,ok,0.07787852299947129,0.06345489485850905,1.2273052090484724,0.21970789850970263,0.06833364330441205
2020Q3,ret_future_1q,bert_adoption_per_1k_words,3443,312,3131,ok,-0.045127225143347154,0.054608817834333565,-0.8263724968419814,0.40859282003063246,0.04352125351331271
2020Q4,ret_future_1q,bert_adoption_per_1k_words,3409,379,3030,ok,-0.08370728079280641,0.03557023352724037,-2.3532957895455415,0.018607825545335733,0.07876802241054404
