model,outcome,ai_var,controls,fixed_effects,clusters,n_obs,n_firms,n_quarters,status,r2,term,coef,se,t,p
winsorized | ret_future_1q | bert_adoption_dummy | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.012899134817583202,bert_adoption_dummy,-0.014516864076463624,0.004989645202789196,-2.909398060677489,0.003621254606672127
winsorized | ret_future_1q | bert_adoption_dummy | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.012899134817583202,size,-0.0024687374944813473,0.0008808982225053791,-2.802522960552656,0.0050704607036790176
winsorized | ret_future_1q | bert_adoption_dummy | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.012899134817583202,bm,-0.02186629680752885,0.003623335155548673,-6.034853489620859,1.5910697614042906e-09
winsorized | ret_future_1q | bert_adoption_dummy | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.012899134817583202,leverage,0.01288030324421021,0.007829743257385986,1.6450479691093203,0.09995991920099287
winsorized | ret_future_1q | bert_adoption_dummy | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.012899134817583202,profitability,0.1115152611559398,0.010443350770501689,10.678111231399605,1.2886685925994882e-26
winsorized | ret_future_1q | bert_adoption_dummy | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.012899134817583202,investment,0.021316785587493267,0.004444382579311529,4.796343520632603,1.6158807664605576e-06
winsorized | ret_future_1q | bert_adoption_dummy | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.012899134817583202,momentum,-0.022747355049247398,0.0023227776865059183,-9.793169265142,1.204597333825411e-22
winsorized | ret_future_1q | bert_adoption_dummy | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.05181005970335861,bert_adoption_dummy,-0.006996078787026215,0.005878358603564833,-1.1901415444072363,0.23399076397642837
winsorized | ret_future_1q | bert_adoption_dummy | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.05181005970335861,size,-0.11125041235541591,0.014509616275066686,-7.66735730610523,1.7557617635203034e-14
winsorized | ret_future_1q | bert_adoption_dummy | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.05181005970335861,bm,-0.08174324426198165,0.010412814303291511,-7.850254684378886,4.151932509963193e-15
winsorized | ret_future_1q | bert_adoption_dummy | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.05181005970335861,leverage,-0.08115464292866822,0.033920692960113595,-2.3924818701108412,0.016734854858765864
winsorized | ret_future_1q | bert_adoption_dummy | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.05181005970335861,profitability,0.09119627522575913,0.024337529997762807,3.747145878572814,0.0001788580788899882
winsorized | ret_future_1q | bert_adoption_dummy | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.05181005970335861,investment,0.048997244605807885,0.006303591250983843,7.772909545516702,7.670351726605825e-15
winsorized | ret_future_1q | bert_adoption_dummy | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.05181005970335861,momentum,-0.08290471454559648,0.0027430724793036368,-30.22330440449859,1.1705311429055e-200
winsorized | ret_future_1q | bert_adoption_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.012904978061359929,bert_adoption_log_count,-0.013079949605314518,0.004496449237434781,-2.9089507997596376,0.0036264392596430063
winsorized | ret_future_1q | bert_adoption_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.012904978061359929,size,-0.0024802289370516478,0.0008808613395003509,-2.8156859948678217,0.004867321360786418
winsorized | ret_future_1q | bert_adoption_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.012904978061359929,bm,-0.021846329731997276,0.003622679749192917,-6.030433613919182,1.6352033330810946e-09
winsorized | ret_future_1q | bert_adoption_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.012904978061359929,leverage,0.012939686843022442,0.007830534038007259,1.6524654359736846,0.098439705586943
winsorized | ret_future_1q | bert_adoption_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.012904978061359929,profitability,0.1114839847723252,0.010448465982480218,10.669890198164913,1.4079266080016436e-26
winsorized | ret_future_1q | bert_adoption_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.012904978061359929,investment,0.021341307336442475,0.004441901850583509,4.804542750902742,1.5510555880309551e-06
winsorized | ret_future_1q | bert_adoption_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.012904978061359929,momentum,-0.02273070264786596,0.002323335701895103,-9.783649702160965,1.323500270809893e-22
winsorized | ret_future_1q | bert_adoption_log_count | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.051828601865054336,bert_adoption_log_count,-0.007937169875977215,0.005761948252559363,-1.3775149529417683,0.16835309498360695
winsorized | ret_future_1q | bert_adoption_log_count | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.051828601865054336,size,-0.11129529375024726,0.014506605199235549,-7.6720426468979905,1.6927864608049196e-14
winsorized | ret_future_1q | bert_adoption_log_count | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.051828601865054336,bm,-0.08172717530520583,0.010412254267711928,-7.849133646172974,4.1892101691481155e-15
winsorized | ret_future_1q | bert_adoption_log_count | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.051828601865054336,leverage,-0.08102258600324423,0.03391743680921921,-2.3888180719252117,0.01690267004410255
winsorized | ret_future_1q | bert_adoption_log_count | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.051828601865054336,profitability,0.09124972930982234,0.024334979462617395,3.74973520935151,0.000177021391216111
winsorized | ret_future_1q | bert_adoption_log_count | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.051828601865054336,investment,0.049007983745108105,0.00630165333155834,7.7770040918751855,7.426220538634237e-15
winsorized | ret_future_1q | bert_adoption_log_count | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.051828601865054336,momentum,-0.0828994229999337,0.0027433923688817597,-30.21785142375552,1.3804781019151916e-200
winsorized | ret_future_1q | bert_adoption_per_1k_words | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.012898060896816665,bert_adoption_per_1k_words,-0.04773509700046394,0.01811801932051934,-2.634675245455895,0.008421781709837662
winsorized | ret_future_1q | bert_adoption_per_1k_words | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.012898060896816665,size,-0.002649722898315124,0.000873075635295795,-3.034929382054519,0.0024059201300594565
